threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,brier_score,ece_10bin,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,predicted_positive_rate,n,positive_prevalence,calibration_intercept,calibration_slope,subgroup_variable,subgroup,n_positive,n_total,reliability_note,threshold_strategy
0.53,0.6694058154235145,0.6609325408275146,0.6308243727598566,0.5923076923076923,0.7295573893473368,0.6109595834366477,0.731652143805182,0.20669805384916737,0.011197132087562636,1945,721,848,1232,0.2704426106526632,0.4076923076923077,0.41150442477876104,4746,0.4382638010956595,-0.027049217599773898,1.0135201287763862,BMICategory,Overweight,2080,4746,,youden_j
0.53,0.7716535433070866,0.5485573539760732,0.5,0.13793103448275862,0.9591836734693877,0.21621621621621623,0.7607318789584799,0.15170021752461982,0.039412860727802965,94,4,25,4,0.04081632653061224,0.8620689655172413,0.06299212598425197,127,0.2283464566929134,-0.13151760091905013,1.062551651095469,BMICategory,Underweight,29,127,CAUTION: fewer than 150 positive cases; estimates unreliable,youden_j
0.35000000000000003,0.7260884470346246,0.6958866112741928,0.49850746268656715,0.6293969849246231,0.7623762376237624,0.5563575791227096,0.7711749459224458,0.163436104374723,0.012095719754547731,1617,504,295,501,0.2376237623762376,0.3706030150753769,0.3445320534796023,2917,0.2728830990743915,0.06762811848704345,1.0512978001065931,BMICategory,Normal weight,796,2917,,recall_at_least_80
0.35000000000000003,0.6752651189452565,0.6048521785494247,0.6591883866710656,0.9523355576739753,0.2573687994248742,0.7790992396178592,0.7126817570943262,0.20406193819882087,0.018600530356732512,358,1033,100,1998,0.7426312005751258,0.047664442326024785,0.8687302952135282,3489,0.6013184293493837,0.053965167771859626,0.9797807554086655,BMICategory,Obese I,2098,3489,,recall_at_least_80
0.35000000000000003,0.7423076923076923,0.5498517438387129,0.7433174661296228,0.9825750242013552,0.11712846347607053,0.8463623097769439,0.7149132165003256,0.17358055034099887,0.01401007352800639,93,701,36,2030,0.8828715365239295,0.017424975798644726,0.9548951048951049,2860,0.7223776223776224,0.015492573316146918,0.9702441483841606,BMICategory,Obese II/III,2066,2860,,recall_at_least_80
0.35000000000000003,0.6262115465655289,0.651810368457499,0.5468176254589964,0.8591346153846153,0.4444861215303826,0.668287210172027,0.731652143805182,0.20669805384916737,0.011197132087562636,1185,1481,293,1787,0.5555138784696174,0.14086538461538461,0.6885798567214496,4746,0.4382638010956595,-0.027049217599773898,1.0135201287763862,BMICategory,Overweight,2080,4746,,recall_at_least_80
0.35000000000000003,0.7401574803149606,0.6859605911330049,0.4473684210526316,0.5862068965517241,0.7857142857142857,0.5074626865671642,0.7607318789584799,0.15170021752461982,0.039412860727802965,77,21,12,17,0.21428571428571427,0.41379310344827586,0.2992125984251969,127,0.2283464566929134,-0.13151760091905013,1.062551651095469,BMICategory,Underweight,29,127,CAUTION: fewer than 150 positive cases; estimates unreliable,recall_at_least_80
0.5,0.7215635179153095,0.7222880402175149,0.6987277353689567,0.7423628007569614,0.7022132796780685,0.7198846506750557,0.7940441717621218,0.1844829585656529,0.010587419468873078,2792,1184,953,2746,0.2977867203219316,0.2576371992430387,0.5120521172638437,7675,0.4819543973941368,0.011671108263242006,1.0081591416536053,SexGroup,Female,3699,7675,,default_0_50
0.5,0.6961633663366337,0.6923658118805613,0.6821243523316062,0.7813056379821959,0.6034259857789269,0.7283540802213001,0.7632688135742769,0.19639600510742558,0.009818663629230649,1867,1227,737,2633,0.396574014221073,0.21869436201780415,0.5971534653465347,6464,0.5213490099009901,-0.006187336238623984,1.0026892408421177,SexGroup,Male,3370,6464,,default_0_50
0.53,0.7183061889250815,0.7178822801638161,0.7084350420395986,0.7061367937280346,0.7296277665995976,0.7072840509071215,0.7940441717621218,0.1844829585656529,0.010587419468873078,2901,1075,1087,2612,0.2703722334004024,0.2938632062719654,0.48039087947882736,7675,0.4819543973941368,0.011671108263242006,1.0081591416536053,SexGroup,Female,3699,7675,,youden_j
0.53,0.6936881188118812,0.6919242565777738,0.6956644144144144,0.7332344213649852,0.6506140917905624,0.7139555041895406,0.7632688135742769,0.19639600510742558,0.009818663629230649,2013,1081,899,2471,0.3493859082094376,0.2667655786350148,0.5495049504950495,6464,0.5213490099009901,-0.006187336238623984,1.0026892408421177,SexGroup,Male,3370,6464,,youden_j
0.35000000000000003,0.6968078175895766,0.7033198447239262,0.6327913279132791,0.8837523655041903,0.522887323943662,0.7375070501974055,0.7940441717621218,0.1844829585656529,0.010587419468873078,2079,1897,430,3269,0.477112676056338,0.11624763449580967,0.6730944625407166,7675,0.4819543973941368,0.011671108263242006,1.0081591416536053,SexGroup,Female,3699,7675,,recall_at_least_80
0.35000000000000003,0.6675433168316832,0.6567648881054362,0.6244141023028327,0.9091988130563798,0.4043309631544926,0.7403648664975233,0.7632688135742769,0.19639600510742558,0.009818663629230649,1251,1843,306,3064,0.5956690368455074,0.09080118694362017,0.7591274752475248,6464,0.5213490099009901,-0.006187336238623984,1.0026892408421177,SexGroup,Male,3370,6464,,recall_at_least_80
