dataset,positive_prevalence,threshold_probability,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,role
natural_prevalence_2015,0.13933301797540207,0.42000000000000004,-0.15337759218782282,-0.48390858969758277,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.43,-0.16046884595594946,-0.5099420737273647,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.44,-0.16393853899175562,-0.5369053250439249,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.45,-0.16941386428141395,-0.5648490582265415,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.46,-0.17414517560764803,-0.5938277444899961,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.47000000000000003,-0.18011155043049332,-0.623899966084147,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.48000000000000004,-0.18769497610557212,-0.6551288115857652,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.49,-0.1891188373804268,-0.68758231769529,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.5,-0.19370072532324184,-0.7213339640491958,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.51,-0.19598940332992235,-0.7564632286216284,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.52,-0.19750670135603915,-0.7930562125512457,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.53,-0.19935435495883574,-0.8312063447331872,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.54,-0.1936215430600689,-0.8710151783143435,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.55,-0.19577858369249102,-0.9125932933879956,0.0,PRIMARY: natural-prevalence validation (~14%)
